cust_id,item_purchased,category,purchase_amount,size,color,season,review_rating,shipping_type,discount_applied,promo
1,3,2,34,3,8,4,7,2,1,1
2,24,2,45,3,13,4,7,2,1,1
3,12,2,54,1,13,2,7,3,1,1
4,15,3,71,2,13,2,11,4,1,1
5,3,2,30,2,22,2,3,3,1,1
6,21,3,1,2,24,3,5,5,1,1
7,17,2,66,2,8,1,8,3,1,1
8,19,2,15,3,5,4,8,3,1,1
9,5,4,78,3,20,3,2,2,1,1
10,8,1,12,2,17,2,24,1,1,1
11,18,3,15,3,18,1,17,6,1,1
12,19,2,49,1,14,4,25,6,1,1
13,5,4,53,2,7,4,21,2,1,1
14,6,2,32,2,23,2,23,2,1,1
15,5,4,34,3,21,4,23,3,1,1
16,20,2,62,2,21,4,4,6,1,1
17,23,1,17,1,8,2,17,4,1,1
18,6,2,19,4,11,4,23,1,1,1
19,24,2,29,1,2,3,22,3,1,1
20,14,2,71,2,9,3,9,5,1,1
21,14,2,32,2,2,4,4,2,1,1
22,14,2,43,2,5,4,17,6,1,1
23,14,2,18,2,16,3,8,6,1,1
24,14,2,69,4,24,4,20,2,1,1
25,11,4,3,2,9,1,5,6,1,1
26,10,2,6,2,20,3,12,2,1,1
27,13,1,1,2,19,2,12,4,1,1
28,19,2,37,3,6,3,26,4,1,1
29,8,1,75,2,8,1,20,3,1,1
30,6,2,29,1,2,1,17,6,1,1
31,13,1,12,3,2,4,23,5,1,1
32,6,2,60,3,4,4,23,6,1,1
33,11,4,48,2,20,3,25,3,1,1
34,14,2,19,3,9,3,9,6,1,1
35,25,2,72,3,23,2,22,1,1,1
36,3,2,14,2,6,3,16,1,1,1
37,25,2,50,2,13,4,22,3,1,1
38,12,2,26,1,6,3,4,6,1,1
39,6,2,18,2,19,4,13,1,1,1
40,14,2,41,1,22,3,18,2,1,1
41,8,1,57,3,1,4,22,4,1,1
42,16,1,20,2,15,2,21,5,1,1
43,5,4,81,2,1,2,17,3,1,1
